"annio","nombre","categoria","edad","genero"
1980,"Paul Berg","chemistry",54,"male"
1966,"Robert S. Mulliken","chemistry",70,"male"
1986,"Ernst Ruska","physics",80,"male"
1924,"Wladyslaw Stanislaw Reymont","literature",57,"male"
1978,"Isaac Bashevis Singer","literature",74,"male"
1958,"Boris Leonidovich Pasternak","literature",68,"male"
2008,"Martti Ahtisaari","peace",71,"male"
1957,"Albert Camus","literature",44,"male"
1946,"Hermann Hesse","literature",69,"male"
1992,"Georges Charpak","physics",68,"male"
1971,"Dennis Gabor","physics",71,"male"
1912,"Nils Gustaf Dal_n","physics",43,"male"
1923,"Fritz Pregl","chemistry",54,"male"
1993,"Kary B. Mullis","chemistry",49,"male"
1905,"Robert Koch","medicine",62,"male"
1908,"Ernest Rutherford","chemistry",37,"male"
1927,"Heinrich Otto Wieland","chemistry",50,"male"
1904,"Lord Rayleigh (John William Strutt)","physics",62,"male"
1947,"Sir Edward Victor Appleton","physics",55,"male"
1937,"Walter Norman Haworth","chemistry",54,"male"
1937,"Paul Karrer","chemistry",48,"male"
1947,"Sir Robert Robinson","chemistry",61,"male"
1913,"Heike Kamerlingh Onnes","physics",60,"male"
1990,"Mikhail Sergeyevich Gorbachev","peace",59,"male"
2010,"Liu Xiaobo","peace",55,"male"
1956,"Juan Ram<U+0084>n Jim_nez","literature",75,"male"
1959,"Salvatore Quasimodo","literature",58,"male"
1953,"Sir Winston Leonard Spencer Churchill","literature",79,"male"
1954,"Ernest Miller Hemingway","literature",55,"male"
1912,"Paul Sabatier","chemistry",58,"male"
1927,"Charles Thomson Rees Wilson","physics",58,"male"
1908,"Gabriel Lippmann","physics",63,"male"
1960,"Willard Frank Libby","chemistry",52,"male"
1920,"Knut Pedersen Hamsun","literature",61,"male"
1968,"Yasunari Kawabata","literature",69,"male"
1982,"Gabriel Garc<cd>a M<U+0088>rquez","literature",55,"male"
1983,"William Golding","literature",72,"male"
1907,"Albert Abraham Michelson","physics",55,"male"
1965,"Robert Burns Woodward","chemistry",48,"male"
1948,"Thomas Stearns Eliot","literature",60,"male"
2000,"Jack S. Kilby","physics",77,"male"
1985,"Franco Modigliani","economics",67,"male"
1988,"Maurice Allais","economics",77,"male"
1978,"Herbert A. Simon","economics",62,"male"
1961,"Robert Hofstadter","physics",46,"male"
1962,"Lev Davidovich Landau","physics",54,"male"
1984,"Jaroslav Seifert","literature",83,"male"
1979,"Odysseus Elytis","literature",68,"male"
1949,"William Faulkner","literature",52,"male"
1955,"Polykarp Kusch","physics",44,"male"
1949,"Hideki Yukawa","physics",42,"male"
1966,"Shmuel Yosef Agnon","literature",78,"male"
1962,"John Steinbeck","literature",60,"male"
1945,"Artturi Ilmari Virtanen","chemistry",50,"male"
1954,"Linus Carl Pauling","chemistry",53,"male"
1975,"Vladimir Prelog","chemistry",69,"male"
1948,"Arne Wilhelm Kaurin Tiselius","chemistry",46,"male"
1961,"Melvin Calvin","chemistry",50,"male"
1961,"Rudolf Ludwig M_ssbauer","physics",32,"male"
1930,"Hans Fischer","chemistry",49,"male"
1915,"Richard Martin Willst_tter","chemistry",43,"male"
1944,"Isidor Isaac Rabi","physics",46,"male"
1982,"George J. Stigler","economics",71,"male"
1922,"Niels Henrik David Bohr","physics",37,"male"
1921,"Albert Einstein","physics",42,"male"
2007,"Gerhard Ertl","chemistry",71,"male"
2006,"Roger D. Kornberg","chemistry",59,"male"
1999,"Ahmed H. Zewail","chemistry",53,"male"
1976,"William N. Lipscomb","chemistry",57,"male"
1983,"William Alfred Fowler","physics",72,"male"
1973,"Brian David Josephson","physics",33,"male"
1983,"Subramanyan Chandrasekhar","physics",73,"male"
1982,"Kenneth G. Wilson","physics",46,"male"
1917,"Karl Adolph Gjellerup","literature",60,"male"
1930,"Sinclair Lewis","literature",45,"male"
1955,"Halld<U+0084>r Kiljan Laxness","literature",53,"male"
1967,"Miguel Angel Asturias","literature",68,"male"
2000,"Kim Dae-jung","peace",75,"male"
1987,"Oscar Arias S<U+0088>nchez","peace",46,"male"
1955,"Vincent du Vigneaud","chemistry",54,"male"
